2026-03-13 14:25:42,828 | INFO | ui_automation | Starting remote browser session
2026-03-13 14:25:43,793 | INFO | ui_automation | Opening login page
2026-03-13 14:25:44,436 | INFO | ui_automation | Logging in with demo admin button
2026-03-13 14:25:47,070 | INFO | ui_automation | Closing browser session
2026-03-13 14:25:47,172 | INFO | ui_automation | Starting remote browser session
2026-03-13 14:25:47,769 | INFO | ui_automation | Opening login page
2026-03-13 14:26:05,108 | INFO | ui_automation | Closing browser session
2026-03-13 14:26:05,208 | INFO | ui_automation | Starting remote browser session
2026-03-13 14:26:05,791 | INFO | ui_automation | Opening login page
2026-03-13 14:26:07,305 | INFO | ui_automation | Closing browser session
2026-03-13 14:26:07,414 | INFO | ui_automation | Starting remote browser session
2026-03-13 14:26:07,990 | INFO | ui_automation | Opening login page
2026-03-13 14:26:09,422 | INFO | ui_automation | Closing browser session
