"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12603","test_debug_projects_page","tests","2026-03-13","passed","2026-03-13","","test_debug_login_page","",""
"","6211","test_debug_tasks_page","tests","2026-03-13","passed","2026-03-13","","test_debug_projects_tasks","",""
"","18580","TC02 - Invalid Login Matrix","tests","2026-03-13","passed","2026-03-13","TestAuth","test_auth","",""
"","4888","TC01 - Valid Admin Login","tests","2026-03-13","passed","2026-03-13","TestAuth","test_auth","",""
"","4190","TC02 - Invalid Login Matrix","tests","2026-03-13","passed","2026-03-13","TestAuth","test_auth","",""
"","4138","TC05 - Projects Page Load","tests","2026-03-13","passed","2026-03-13","TestProjectsTasks","test_projects_tasks","",""
"","9238","TC07 - Alerts Handling","tests","2026-03-13","passed","2026-03-13","TestBrowserInteractions","test_browser_interactions","",""
"","5945","TC02 - Invalid Login Matrix","tests","2026-03-13","passed","2026-03-13","TestAuth","test_auth","",""
"","8256","test_debug_tasks_page","tests","2026-03-13","passed","2026-03-13","","test_debug_login_page","",""
"","3731","test_debug_projects_page","tests","2026-03-13","passed","2026-03-13","","test_debug_projects_tasks","",""
"","35356","TC04 - Non Admin Access Restriction","tests","2026-03-13","passed","2026-03-13","TestAccessControl","test_access_control","",""
"","6752","TC08 - Frames and Window Handling","tests","2026-03-13","passed","2026-03-13","TestBrowserInteractions","test_browser_interactions","",""
"","7421","TC06 - Tasks Page Load","tests","2026-03-13","passed","2026-03-13","TestProjectsTasks","test_projects_tasks","",""
