"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5485","test_debug_tasks_page","tests","2026-03-13","passed","2026-03-13","","test_debug_projects_tasks","",""
"","3665","TC05 - Projects Page Load","tests","2026-03-13","passed","2026-03-13","TestProjectsTasks","test_projects_tasks","",""
"","3275","TC01 - Valid Admin Login","tests","2026-03-13","passed","2026-03-13","TestAuth","test_auth","",""
"","5814","TC06 - Tasks Page Load","tests","2026-03-13","passed","2026-03-13","TestProjectsTasks","test_projects_tasks","",""
"","3570","test_debug_projects_page","tests","2026-03-13","passed","2026-03-13","","test_debug_projects_tasks","",""
"","17323","TC02 - Invalid Login Matrix","tests","2026-03-13","passed","2026-03-13","TestAuth","test_auth","",""
"","32425","TC04 - Non Admin Access Restriction","tests","2026-03-13","passed","2026-03-13","TestAccessControl","test_access_control","",""
"","1421","TC02 - Invalid Login Matrix","tests","2026-03-13","passed","2026-03-13","TestAuth","test_auth","",""
"","33190","TC04 - Non Admin Access Restriction","tests","2026-03-13","passed","2026-03-13","TestAccessControl","test_dashboard","",""
"","10781","TC07 - Alerts Handling","tests","2026-03-13","passed","2026-03-13","TestBrowserInteractions","test_browser_interactions","",""
"","8859","test_debug_tasks_page","tests","2026-03-13","passed","2026-03-13","","test_debug_login_page","",""
"","28209","TC05 - Project Creation Flow","tests","2026-03-13","broken","2026-03-13","TestProjectsTasks","test_access_control","",""
"","10820","test_debug_projects_page","tests","2026-03-13","passed","2026-03-13","","test_debug_login_page","",""
"","7117","TC08 - Frames and Window Handling","tests","2026-03-13","passed","2026-03-13","TestBrowserInteractions","test_browser_interactions","",""
"","19968","TC06 - Task Status Update","tests","2026-03-13","broken","2026-03-13","TestProjectsTasks","test_access_control","",""
"","1497","TC02 - Invalid Login Matrix","tests","2026-03-13","passed","2026-03-13","TestAuth","test_auth","",""
"","3952","TC03 - Admin Users Page Access","tests","2026-03-13","passed","2026-03-13","TestDashboard","test_dashboard","",""
"","400","test_debug_login_page","tests","2026-03-13","passed","2026-03-13","","test_debug_login_page","",""
